,chart
3584,Ram Tej: Today is a full pack day
3585,pooja07: Ok
3586,pooja07: Missed voice call
3587,Ram Tej: Boooo
3588,Ram Tej: U called me booo
3589,pooja07: Yes
3590,pooja07: I did
3591,pooja07: Missed voice call
3592,Ram Tej: Hi
3593,Ram Tej: Pick
3594,Ram Tej: Rey
3595,Ram Tej: Kaushik
3596,Ram Tej: Can here u
3597,Ram Tej: Bo
3598,Ram Tej: Wtf
3599,pooja07: lollollollollollollol
3600,pooja07: Awwwww
3601,pooja07: So sweet
3602,Ram Tej: Noooooo
3603,pooja07: Shy ram tej
3604,Ram Tej: Ok
3605,Ram Tej: Pibg
3606,Ram Tej: Pubg
3607,pooja07: lollollollollollollollollollollollollollollollollol
3608,pooja07: I love you
3609,pooja07: Why did u turn your mic off
3610,Ram Tej: Booo
3611,Ram Tej: What are you doing
3612,pooja07: Hi
3613,Ram Tej: media
3614,Ram Tej: One more dinner
3615,pooja07: Without me
3616,Ram Tej: All 3 died in the beginning only c
3617,Ram Tej: I was playing alone only
3618,Ram Tej: Come online we both will play ok
3619,Ram Tej: Come now then
3620,pooja07: No it's ok
3621,pooja07: I have work
3622,Ram Tej: Ok
3623,pooja07: I'll play tonight
3624,Ram Tej: Then how
3625,pooja07: Sup
3626,Ram Tej: Ok
3627,pooja07: What r u doing
3628,Ram Tej: Do work now
3629,Ram Tej: We can play later no
3630,Ram Tej: Bo
3631,Ram Tej: Nothing bo
3632,Ram Tej: U only should tell
3633,pooja07: Heheeheh
3634,Ram Tej: Ok I will play pubg u work
3635,pooja07: what
3636,pooja07: Talk for a while na
3637,pooja07: Rey
3638,pooja07: Text da
3639,Ram Tej: Why cut the vall
3640,pooja07: lol
3641,Ram Tej: Aba
3642,Ram Tej: Some one what to text now
3643,Ram Tej: Lol
3644,Ram Tej: I love u so much booooo
3645,Ram Tej: kisskisskisskisskiss
3646,Ram Tej: heart
3647,pooja07: Ei
3648,pooja07: Where r u
3649,pooja07: Ram?
3650, pooja07: Jakka ram tej
3651, pooja07: I'm sleepy
3652, pooja07: Jakkkaaaa
3653, Ram Tej: Bolo jakku
3654, Ram Tej: Good night
3655,pooja07: Good morning
3656,pooja07: Holiday for me
3657,pooja07: Yayayayay
3658, Ram Tej: Good morning boooo
3659, pooja07: Hii
3660, pooja07: Hi
3661, pooja07: Here.
3662, Ram Tej: Play ping with me
3663, Ram Tej: Now
3664, pooja07: Hi
3665, pooja07: I'm here
3666, pooja07: Let's play
3667, pooja07: Missed voice call
3668,pooja07: Ram
3669,pooja07: There is something wrong with that house
3670,Ram Tej: Booooo
3671,pooja07: U just got angry without any reason
3672,pooja07: Not my fault.
3673,Ram Tej: I u over think so much
3674,Ram Tej: What ever I tell is wrong
3675,pooja07: I didn't do anything
3676,pooja07: Yes
3677,pooja07: It's wrong
3678,Ram Tej: So it's better I don't talk
3679,pooja07: Go
3680,pooja07: Yeah
3681,pooja07: Don't talk.
3682,Ram Tej: I won't talk only
3683,Ram Tej: Ok
3684,Ram Tej: I am going to collage at 2:30
3685,pooja07: Why?
3686,Ram Tej: To meet a sir
3687,pooja07: Wjy
3688,Ram Tej: Talk about stocks
3689,pooja07: lol
3690,Ram Tej: Why do u care
3691,pooja07: Ok
3692,Ram Tej: I keep feeling bad for every thing
3693,pooja07: Tell.me.i shouldn't
3694,pooja07: I won't
3695,pooja07: If everything bad will happen
3696,Ram Tej: I don't have to all the time
3697,pooja07: I will feel bad only
3698,Ram Tej: That's what I am telling
3699,pooja07: Can't be happy about it
3700,pooja07: U need to console
3701,pooja07: Not shout
3702,pooja07: If u can't handle this don't
3703,pooja07: Let me be peacefully
3704,Ram Tej: Ya I told calm down
3705,pooja07: U don't shout at me and make me unhappy
3706,pooja07: U fucking compared it with a broken phone
3707,pooja07: what
3708,Ram Tej: And I was telling u and talking to u  and your mom's came of and u started talking to her normally
3709,Ram Tej: Ok
3710,Ram Tej: C this is whare your brain lies and u don't listen
3711,pooja07: Yeah
3712,pooja07: I don't
3713,Ram Tej: Start listening to people
3714,pooja07: U keep shouting. For no reason
3715,Ram Tej: Ok bye
3716,pooja07: sad
3717,pooja07: Always angry.
3718,pooja07: whatdon't be so angry
3719,pooja07: Pick na.
3720,pooja07: Missed video call
3721,pooja07: My mom is here
3722,Ram Tej: Ok
3723,pooja07: Hi
3724,pooja07: what
3725,Ram Tej: Boo
3726,Ram Tej: Pubg
3727,Ram Tej: Bo
3728,pooja07: U play one match
3729,pooja07: I'll join
3730,pooja07: Hey
3731,pooja07: There???
3732, pooja07: Missed voice call
3733, pooja07: Good night
3734, Ram Tej: Hello
3735, pooja07: heartheartlove
3736, pooja07: Hi
3737, pooja07: Im here
3738, pooja07: Listen
3739, Ram Tej: Ok
3740, Ram Tej: U can't talk
3741, Ram Tej: I understand
3742, pooja07: But
3743, pooja07: I'm scared
3744, Ram Tej: I will get up by 9:30
3745, Ram Tej: Tmro
3746, Ram Tej: Why scared bo
3747, pooja07: I don't know
3748, Ram Tej: Don't think I will smoke
3749, Ram Tej: If I wanted to
3750, Ram Tej: I won't be texting R8 now in first place
3751, pooja07: No
3752, pooja07: Not that
3753, pooja07: It's not u
3754, pooja07: It's me.
3755, Ram Tej: Ok
3756, Ram Tej: What happened
3757, Ram Tej: Why
3758, pooja07: Nothinf
3759, pooja07: I'm just scared
3760, pooja07: Ram?
3761, Ram Tej: Ok
3762, pooja07: Can u call me and tell story
3763, pooja07: I'll text
3764, Ram Tej: Fine don't be
3765, Ram Tej: J am here na
3766, Ram Tej: Ya
3767, Ram Tej: Why nott
3768, Ram Tej: No probs babe
3769, pooja07: lol
3770, pooja07: Booooo
3771, pooja07: My boo
3772, pooja07: Jakka
3773, pooja07: Don't stop talking
3774, pooja07: Missed voice call
3775, pooja07: Don't stop talking
3776, pooja07: !!!!
3777, pooja07: Smaaaalll king
3778, pooja07: lol
3779, pooja07: Keep talking da
3780, pooja07: Mental
3781, pooja07: Rey
3782, pooja07: Mad
3783, pooja07: Rythvika
3784, pooja07: Yeah
3785, pooja07: lol
3786, pooja07: Dei
3787, pooja07: Keep talking
3788, pooja07: Please
3789, pooja07: Talk to your frnds
3790, pooja07: It's ok
3791, pooja07: But I need u to talk
3792, pooja07: what
3793, pooja07: Booooooooooooo
3794, pooja07: lol
3795, pooja07: upsiddownupsiddownupsiddownupsiddownupsiddownupsiddownupsiddownupsiddownupsiddownupsiddown
3796, pooja07: B
3797, pooja07: B
3798, pooja07: Vv
3799, pooja07: heart
3800, pooja07: Impressive
3801, pooja07: lol
3802, pooja07: Yes
3803, pooja07: media
3804, pooja07: lollollollol
3805, Ram Tej: Ok
3806, Ram Tej: Sleep
3807, Ram Tej: Sleeping
3808, pooja07: No
3809, pooja07: I cant
3810, pooja07: cry
3811, Ram Tej: Why what happened
3812, Ram Tej: Don't be scared
3813, pooja07: I cant
3814, Ram Tej: I am here only
3815, pooja07: Then tell story
3816, pooja07: TEL STORY
3817, pooja07: R
3818, pooja07: A
3819, pooja07: M
3820, pooja07: R
3821, pooja07: A
3822, pooja07: M
3823, pooja07: R
3824, pooja07: A
3825, pooja07: M
3826, pooja07: R
3827, pooja07: A
3828, pooja07: M
3829, pooja07: Tell story
3830, pooja07: heart
3831, pooja07: lovelovelovelovelove
3832, pooja07: lovelovelovelovelovelovelovelovelovelovelovelovelovelovelovelove
3833, pooja07: whatwhatwhatwhat
3834, pooja07: Ma-ui
3835, pooja07: Mental
3836, pooja07: Jakka
3837, pooja07: No charge
3838, pooja07: Missed voice call
3839, pooja07: Ok byekiss
3840, Ram Tej: Good night
3841, Ram Tej: Sd
3842, Ram Tej: The.care
3843, Ram Tej: Don't let bed bugs bite
3844, Ram Tej: kiss
3845, Ram Tej: kisskiss
3846, pooja07: kisskisskisskiss
3847, pooja07: heart
3848, Ram Tej: Good morning
3849, Ram Tej: heart
3850, pooja07: smilelove
3851, pooja07: 
3852, Ram Tej: I love you
3853, Ram Tej: kisskisskisskisskisskiss
3854, Ram Tej: heart
3855, pooja07: Bye
3856,pooja07: Good morning
3857, Ram Tej: Boooo
3858, pooja07: Hiiii
3859, pooja07: She is sitting here
3860, pooja07: I love you
3861, pooja07: Byeeee
3862, Ram Tej: Ok
3863, Ram Tej: I love you
3864,Ram Tej: I am back to hstl bo
3865,Ram Tej: No call no msg
3866,Ram Tej: So busy u are
3867,pooja07: Hi
3868,pooja07: Sup
3869,pooja07: I thought u were going to some party
3870,pooja07: So I didn't disturb
3871,Ram Tej: No
3872,pooja07: silent
3873,Ram Tej: I told I won't go to that dj thing
3874,Ram Tej: I went to that birthday thing and came back by 6:3
3875,Ram Tej: 6:30
3876,Ram Tej: And I came to my room and it smelled rat
3877,pooja07: Oh
3878,pooja07: lol
3879,Ram Tej: So I went shout and got my room cleaned
3880,Ram Tej: Tmro on words I will go jogging
3881,pooja07: lollollollollol
3882,pooja07: Ok
3883,pooja07: I love you
3884,Ram Tej: What happened bo
3885,pooja07: Nothing much
3886,pooja07: R
3887,pooja07: ramm
3888,pooja07: smile
3889,pooja07: At
3890,pooja07: *ate?
3891,Ram Tej: Ya baby momos
3892,pooja07: Ram?
3893, pooja07: Ok
3894, pooja07: U can talk now?
3895, pooja07: Missed voice call
3896, Ram Tej: Booooo
3897, Ram Tej: I am going to my room now only I will call
3898, pooja07: Ok
3899, pooja07: I love you so much
3900, pooja07: kisskisskisskiss
3901, pooja07: kisskisskisskisskisskissloveheartheartheartlovelovelovekissloveloveheart
3902, pooja07: kisskisskisskisskisskissI love you so much
3903, pooja07: Be with me
3904, pooja07: I'm very tired
3905, pooja07: I did so much work
3906, pooja07: I'm just super tired
3907, pooja07: Yes
3908, pooja07: I need some rest
3909, pooja07: But I really love you
3910, pooja07: lovelovelovelovelove
3911, pooja07: kiss
3912, pooja07: Ok
3913, pooja07: Bye booo
3914, pooja07: I'm sorry
3915, pooja07: My cousin is here
3916, pooja07: I do love you
3917, pooja07: The situation is not good
3918, Ram Tej: Ok
3919, pooja07: Please understand
3920, Ram Tej: Ok
3921, pooja07: I love you
3922, pooja07: heartheartheartheartheartheartheart
3923, Ram Tej: I love you
3924, pooja07: what asshole
3925, pooja07: Bye
3926, pooja07: What
3927, Ram Tej: I love you
3928, pooja07: heart
3929, Ram Tej: heart
3930,pooja07: Hi
3931, pooja07: No charge in my phone
3932, Ram Tej: Boooooo
3933, Ram Tej: Good morning
3934, Ram Tej: Then charge it
3935, Ram Tej: What happened with it
3936,pooja07: Ji
3937,pooja07: Hi
3938,pooja07: Call.me
3939,Ram Tej: Booooo
3940,Ram Tej: Send me your landline no
3941,Ram Tej: Plex booooo
3942,Ram Tej: I played ping till now
3943,pooja07: Hi
3944,pooja07: Mental
3945,pooja07: I texted on hangouts
3946,Ram Tej: Booooo
3947,Ram Tej: Ok
3948,Ram Tej: Let me check boooo
3949,pooja07: what
3950,pooja07: Jakka
3951,pooja07: U free
3952,Ram Tej: Boooooo
3953,pooja07: Boi booi
3954,Ram Tej: Boooooo
3955,Ram Tej: Don't talk ok
3956,pooja07: Ok
3957,pooja07: upsiddownupsiddown
3958,Ram Tej: Hello
3959,Ram Tej: Hello
3960,Ram Tej: Here
3961,Ram Tej: Rey
3962,Ram Tej: Ok leave I will take bath u are busy next time. We will do
3963,Ram Tej: Rey
3964,Ram Tej: Since 20 min I am here
3965,Ram Tej: Plez
3966,Ram Tej: Reply
3967,Ram Tej: Fast
3968,Ram Tej: Lite
3969,Ram Tej: Leave
3970,Ram Tej: I will call u after bath
3971,pooja07: No
3972,pooja07: Hi
3973,pooja07: Ram
3974,pooja07: Ram
3975,pooja07: Ram
3976,pooja07: Ram
3977,pooja07: Eam
3978,pooja07: Ram
3979,pooja07: Ram
3980,pooja07: Missed voice call
3981,Ram Tej: Boooo
3982,Ram Tej: Done
3983,pooja07: cry
3984,pooja07: I miss you
3985,pooja07: what
3986,Ram Tej: Booooo
3987,Ram Tej: Don't worry I am here
3988,Ram Tej: I love u booooo
3989,Ram Tej: kisskisskisskisskiss
3990,Ram Tej: heart
3991,pooja07: 
3992,pooja07: I love you too
3993,pooja07: I love you so much
3994,Ram Tej: media
3995,pooja07: Oye
3996,Ram Tej: Tell oye
3997,pooja07: Oye oye
3998,pooja07: 
3999,Ram Tej: Sorry
4000,Ram Tej: U stopped eating now's I remember
4001,pooja07: lol
4002,Ram Tej: Come on pubg now
4003, pooja07: Ok
4004, pooja07: I can't hear u
4005, pooja07: Hey
4006, pooja07: U there?
4007, Ram Tej: Ya
4008, pooja07: I'm beside my mom
4009, pooja07: Hi baby
4010, Ram Tej: I was talking to mom
4011, pooja07: Ooh
4012, Ram Tej: Wish my mom
4013, Ram Tej: She is happy booooo
4014, Ram Tej: kisskisskisskiss
4015, Ram Tej: kisskisskisskiss
4016, Ram Tej: heart
4017, Ram Tej: Ok
4018, Ram Tej: I will sleep niw
4019, Ram Tej: Wake me up at 7
4020, Ram Tej: Bye bo
4021, Ram Tej: Good night
4022, Ram Tej: Sd
4023, Ram Tej: The.care
4024, Ram Tej: Don't let bed bugs bite
4025, Ram Tej: Wish me luck I will trade ymro
4026, Ram Tej: Ymro
4027, Ram Tej: kisskisskisskiss
4028, pooja07: I texted her
4029, Ram Tej: Nice
4030, pooja07: ‚
4031, pooja07: 
4032, pooja07: I love you
4033, Ram Tej: Booooo
4034, Ram Tej: Ok
4035, Ram Tej: Can I sleep Plex
4036, pooja07: yes
4037, Ram Tej: Did I wish noooo
4038, Ram Tej: kiss
4039, pooja07: Heheheheheeh
4040, Ram Tej: Did you. Wish boooo
4041, Ram Tej: Stupid auto correct
4042, pooja07: I did
4043,Ram Tej: Booooooi
4044,Ram Tej: Good morning
4045,Ram Tej: media
4046,pooja07: Hi
4047,pooja07: Good morning
4048,Ram Tej: Booooo
4049,Ram Tej: I love you
4050,Ram Tej: media
4051,Ram Tej: Done with jogging
4052,pooja07: Lol
4053,pooja07: Hi
4054,pooja07: Half an hour jogging uh
4055,pooja07: I love you too
4056,Ram Tej: Will take bath and call u bo
4057,pooja07: Ok
4058,pooja07: Babe.
4059,pooja07: Do u know that we've knows each other since we were 16?
4060,Ram Tej: Ya
4061,Ram Tej: media
4062,pooja07: Hi
4063,pooja07: Missed voice call
4064,Ram Tej: Rey
4065,Ram Tej: What happened
4066,Ram Tej: Bo
4067,Ram Tej: Hello
4068,Ram Tej: Come. Fast
4069,Ram Tej: Ok
4070,Ram Tej: I think u are busy
4071,Ram Tej: We are. Starting
4072,pooja07: Coming
4073,pooja07: Wait
4074,pooja07: Rey I'm here
4075,pooja07: Come out
4076,pooja07: upsiddownupsiddownupsiddownupsiddown
4077,pooja07: Jakka
4078,pooja07: I'm here
4079,pooja07: Jakka
4080,"pooja07: Fine, go get angry."
4081,pooja07: Missed voice call
4082,pooja07: Ei mental I wanna play
4083, pooja07: Missed voice call
4084, pooja07: Missed voice call
4085, Ram Tej: Rey
4086, Ram Tej: I was busy
4087, Ram Tej: I doing so much work and I have a serious cold
4088, Ram Tej: I woke up at 7 I have to sleep now
4089, Ram Tej: My head is acting
4090, Ram Tej: I am really sorry
4091, Ram Tej: I am really sorry for not picking
4092, Ram Tej: Booooo
4093, Ram Tej: Boooo
4094, Ram Tej: Boooo
4095,pooja07: Good morning baby
4096,pooja07: smile
4097,pooja07: My flats is also not safe
4098,pooja07: 9704
4099,pooja07: Z
4100, pooja07: Ei
4101, pooja07: Mental
4102,Ram Tej: Ya
4103,Ram Tej: Boooo
4104,Ram Tej: What
4105,pooja07: what
4106,pooja07: Mental boo
4107,pooja07: Call
4108,pooja07: Missed voice call
4109,Ram Tej: Can I come on pubg
4110,Ram Tej: I am playing now
4111,Ram Tej: Come fast
4112,Ram Tej: 5 min
4113,Ram Tej: Only
4114,Ram Tej: Time starts now
4115,Ram Tej: Don't call
4116,pooja07: Ok
4117,pooja07: Coming
4118,pooja07: I'm online only
4119,pooja07: U went offline as soon as I called u?
4120,pooja07: Why r u blue ticking me
4121,Ram Tej: I am not blue ticking
4122,Ram Tej: I forgot
4123,Ram Tej: There was some work that came in between
4124,Ram Tej: I jenune wanted to call us
4125,Ram Tej: But it is useless
4126,pooja07: *genuinely
4127,"pooja07: Yup, useless."
4128,pooja07: Forgot again? I don't want to keep remainding u that I exist.
4129,Ram Tej: I. Don't want to talk
4130,Ram Tej: If I don't call that means I don't want to talk to you r8
4131,pooja07: Lol when did u ever want to talk to me.
4132,pooja07: I don't know how come every time I call it turns into a fight.
4133,Ram Tej: Last night
4134,Ram Tej: I called
4135,Ram Tej: And I don't have too fight
4136,pooja07: No u didnt
4137,pooja07: what
4138,pooja07: I wanted to talk
4139,pooja07: I called
4140,pooja07: I need permission to talk to my boyfriend uh
4141,pooja07: Ur fighting with me for no reasonmad
4142,pooja07: Missed voice call
4143,Ram Tej: I was taking bath
4144,Ram Tej: Oooo
4145,Ram Tej: Now some one calmed down a
4146,Ram Tej: Nice
4147,Ram Tej: I are not eating chicken a
4148,Ram Tej: I am eating that only
4149,Ram Tej: 
4150,pooja07: Fine
4151,pooja07: Eat
4152,pooja07: Do whatever u want
4153,pooja07: But u won't talk to me
4154,pooja07: How amazing
4155,pooja07: A relationship where ppl don't talk
4156," pooja07: Hi, ignoring again?"
4157, pooja07: Missed voice call
4158, Ram Tej: Hello
4159, pooja07: Missed voice call
4160,Ram Tej: Good morning boooooo
4161,Ram Tej: kiss
4162,pooja07: Good morning boooooo
4163,Ram Tej: Boooooo
4164,Ram Tej: My boooooo
4165,pooja07: Hii
4166,Ram Tej: Booooo I love you no hi
4167,Ram Tej: media
4168,pooja07: lol
4169,Ram Tej: Bo
4170,Ram Tej: I am back to CLG just now
4171,Ram Tej: Boooo
4172,pooja07: Ur net is really bad
4173,pooja07: https://youtu.be/EBuIp7P2xj0
4174, pooja07: Missed voice call
4175, pooja07: Jakka
4176, pooja07: Ram tek
4177," pooja07: ,tej"
4178, pooja07: I'm home
4179, Ram Tej: Call me when I are done boooo
4180, Ram Tej: I am waiting
4181, pooja07: Done
4182, pooja07: Your net
4183, pooja07: Ok
4184, pooja07: Sleep
4185, pooja07: No.worries
4186, pooja07: Boo
4187, pooja07: Ok leave
4188, pooja07: Good night
4189, pooja07: Tc
4190, pooja07: Sd
4191, Ram Tej: Ok
4192, Ram Tej: I love u
4193, Ram Tej: I am really really sorry
4194, pooja07: I love you too baby
4195, pooja07: It's ok
4196, Ram Tej: I love u so much boooooo
4197, Ram Tej: kisskisskisskisskisskiss
4198, pooja07: U take care
4199, Ram Tej: heart
4200, Ram Tej: heart
4201, Ram Tej: heart
4202, Ram Tej: heart
4203, pooja07: ‚
4204, Ram Tej: heart
4205, Ram Tej: I love u
4206, Ram Tej: Good night
4207, Ram Tej: Sd
4208, Ram Tej: The.care
4209, Ram Tej: Don't let bed bugs bite
4210, Ram Tej: kisskisskisskisskisskiss
4211, pooja07: U too boo
4212, pooja07: My booooi kooi mooi
4213, pooja07: lollol‚heart
4214,pooja07: Good morning baby
4215,pooja07: heartheartheart
4216, Ram Tej: Boooo
4217, Ram Tej: Good morning booo
4218, pooja07: Baby
4219, pooja07: Baby
4220, pooja07: Babbbasydiffla
4221, pooja07: Zbxxjdosla
4222, pooja07: ‚‚‚love
4223,pooja07: J
4224,pooja07: A
4225,pooja07: K
4226,pooja07: K
4227,pooja07: A
4228,pooja07: R
4229,pooja07: A
4230,pooja07: M
4231,pooja07: T
4232,pooja07: E
4233,pooja07: J
4234,Ram Tej: Booooo
4235,Ram Tej: Booooo
4236,Ram Tej: Boooo
4237,Ram Tej: Today profits
4238,pooja07: Yes
4239,Ram Tej: So
4240,Ram Tej: I don't want to play with me
4241,Ram Tej: In pubg
4242,Ram Tej: U don't want to
4243,pooja07: U didn't come when I called
4244,pooja07: I'm mad
4245,Ram Tej: Ok
4246,Ram Tej: Bye
4247,Ram Tej: So I are playing with who
4248,pooja07: what
4249,Ram Tej: Fine bye
4250,pooja07: Ur supposed to convince me
4251,pooja07: crycry
4252,pooja07: Asshole
4253,Ram Tej: Ok
4254,Ram Tej: With who are u playing pubg
4255,Ram Tej: 
4256,Ram Tej: Kumran
4257,Ram Tej: Seriously
4258,Ram Tej: Bye
4259,pooja07: What is wrong with u
4260,pooja07: Pick
4261,pooja07: Missed voice call
4262,pooja07: Pick the god damn cal
4263,pooja07: Mental
4264,pooja07: Missed voice call
4265,pooja07: Are u going to pick the call
4266,pooja07: Why such a stupid accusation
4267,pooja07: Missed voice call
4268,pooja07: Missed voice call
4269,pooja07: Now why won't u pick huh?
4270,pooja07: Pick the fucking call
4271,pooja07: Missed voice call
4272,pooja07: Jakka ram tej u pick this call this instance
4273,pooja07: Missed voice call
4274,pooja07: Missed voice call
4275,pooja07: The phone is with u only
4276,pooja07: Tell me what the fuck is happening
4277,pooja07: Akakakakkccjd
4278,pooja07: Cndks
4279,pooja07: Mcxls
4280,pooja07: Smsmsms
4281,pooja07: I'll spam
4282,pooja07: lol
4283,pooja07: Pick na ram tej
4284,pooja07: Ram tej
4285,pooja07: Can u please pick up
4286,pooja07: Missed voice call
4287,pooja07: Ram pick the goddamn call
4288,pooja07: Please pick na
4289,pooja07: Let me at least explain
4290,pooja07: Then u go get mad
4291,pooja07: U ditn have even this much trust on me
4292,pooja07: It's ruined ram
4293,pooja07: Missed voice call
4294,"pooja07: Fine, he sent me a request, I accepted it and we were playing and then u came online and sent request I knew u would be mad so I didn't accept yours, I didn't do anything other than that, I'm sorry to hurt ur feelings. U tell me what ur gonna do about it I'll listen to u."
4295,"pooja07: U need to trust me, if u don't then what am I supposed to do, ram u need to at least pick the call."
4296,pooja07: what
4297,pooja07: Missed voice call
4298,pooja07: Missed voice call
4299,pooja07: Missed voice call
4300,"pooja07: I've been calling u for the past half an hour, ur behaving like a child."
4301,pooja07: This message was deleted
4302,pooja07: I deleted pubg I'm never playing again.
4303,"pooja07: I'm changing my phone to a basic model, I'll keep my WhatsApp on my mom's phone. I've done everything I possible to make you trust me. U call me whenever u want to."
4304,Ram Tej: My phone had no charge
4305,Ram Tej: Don't freek out
4306,Ram Tej: I went to smart shop to eat
4307,pooja07: Call
4308,Ram Tej: So I choose to play with him
4309,Ram Tej: And did not want to exit
4310,Ram Tej: Sorry
4311,Ram Tej: Sorry
4312,Ram Tej: This is being kid
4313,Ram Tej: I won't play with u that's it
4314,Ram Tej: No big deal in that
4315,Ram Tej: That's it
4316,Ram Tej: And I am normal
4317,Ram Tej: Ok I am going to take bath bye
4318,Ram Tej: U where not playing
4319,Ram Tej: U where in match of 2
4320,Ram Tej: U could have quit
4321,Ram Tej: But I choose not to and u played more that 1 game
4322,pooja07: I was playing
4323,pooja07: Don't tell such shitty things
4324,pooja07: The match went really well
4325,Ram Tej: U where not playing I was sending u request
4326,pooja07: And in the next match he died
4327,pooja07: And I was leading
4328,Ram Tej: That time why don't you quit
4329,Ram Tej: I saw u online and I quit and sent using request
4330,pooja07: Because my frnd is talking to me after a long time
4331,pooja07: Please don't be mad ram
4332,pooja07: He was my best frnd
4333,Ram Tej: So he is your friend now
4334,pooja07: And then I started avoiding him
4335,Ram Tej: Go talk to your friend only
4336,"pooja07: No , I told him I can't"
4337,pooja07: I told I can't
4338,Ram Tej: I am going to take bath
4339,pooja07: And I uninstalled pubg
4340,Ram Tej: I will call later
4341,pooja07: Please
4342,pooja07: Wait
4343,Ram Tej: I don't care
4344,pooja07: Just once ram
4345,pooja07: Call.me
4346,pooja07: U should
4347,Ram Tej: I am not going to talk about it
4348,pooja07: Cause I really love yiu
4349,pooja07: I fucking broke my phone's edge
4350,Ram Tej: And I am not. Going to play pubg with u again that's it
4351,pooja07: I quit pubg
4352,Ram Tej: No more questions
4353,pooja07: Yes no more questions
4354,Ram Tej: I don't carev
4355,pooja07: Call bee
4356,pooja07: heart
4357,pooja07: U should care
4358,pooja07: Cause I'm your baby
4359,pooja07: ‚
4360,pooja07: Pick the call
4361,pooja07: Come on
4362,pooja07: Missed voice call
4363,pooja07: Please ram?
4364,Ram Tej: Lol
4365,pooja07: I love you
4366,pooja07: I don't love anyone
4367,Ram Tej: U forgot that and did not quit
4368,pooja07: I don't give a damn about anyone
4369,pooja07: I never forgot that
4370,pooja07: I'm always yrs
4371,Ram Tej: I did not tell u do
4372,pooja07: And ur mine
4373,pooja07: That's it
4374,pooja07: Baby
4375,pooja07: Don't be mad na
4376,pooja07: My sweety
4377,pooja07: Please
4378,pooja07: Baby
4379,pooja07: ‚
4380,pooja07: This message was deleted
4381,Ram Tej: I  am mad for u playing ping with him I am mad because I choose to play with him when I am requesting u to play with me
4382,pooja07: Ok bad pic
4383,Ram Tej: O nice u delete msgs now
4384,Ram Tej: Lite
4385,pooja07: That was a bad pic
4386,Ram Tej: That uncomfortable u are
4387,pooja07: lollollollol
4388,pooja07: media
4389,pooja07: Look
4390,pooja07: I look bad
4391,Ram Tej: I don't care
4392,pooja07: See
4393,pooja07: media
4394,pooja07: Bad pic
4395,Ram Tej: U are putting me away
4396,pooja07: I'm not
4397,pooja07: Boo
4398,pooja07: Don't talk like that
4399,pooja07: Please boo
4400,pooja07: Ur my boo
4401,Ram Tej: I am not mad because I played pubg with him I am mad because I did not quit the game and come play with me when I requested u and I called u also u did not want to come
4402,Ram Tej: So I am mad
4403,pooja07: Because I lost a frnd
4404,pooja07: I wanted that frnd
4405,pooja07: But he still doesn't feel that way
4406,pooja07: So I left
4407,Ram Tej: Leave me
4408,pooja07: No
4409,pooja07: I left the frnd
4410,pooja07: what
4411,pooja07: Mental
4412,Ram Tej: Plez
4413,pooja07: What please?
4414,pooja07: Please ram
4415,pooja07: I said I'm sorry
4416,pooja07: It's my fucking fault
4417,pooja07: Ok
4418,pooja07: I'm the asshole
4419,pooja07: Just please pick the call
4420,pooja07: Missed voice call
4421,Ram Tej: I am not going
4422,Ram Tej: To
4423,Ram Tej: I am not doing any mistake
4424,Ram Tej: So why should I pick
4425,Ram Tej: I am not sinking
4426,Ram Tej: Smoking
4427,Ram Tej: Or drinking
4428,Ram Tej: And u did not quit the game
4429,Ram Tej: Seriously
4430,Ram Tej: Seriously
4431,Ram Tej: First I taught u where playing with some one else
4432,Ram Tej: Can I get a screen shot of your what's app
4433,Ram Tej: I can't trust u
4434,pooja07: What the fuck
4435,pooja07: what
4436,pooja07: Oh my fucking god
4437,pooja07: Did u just say that?
4438,pooja07: Ram.
4439,"pooja07: Today, come on team viewer"
4440,pooja07: U come and u see everything
4441,Ram Tej: I just want your screen shot
4442,Ram Tej: And no reply
4443,Ram Tej: But I get so much shit like thid
4444,Ram Tej: I don't have work or what
4445,Ram Tej: U where online and did not reply
4446,pooja07: U just said u will never trust me
4447,pooja07: I feel like you have just broken my fucking heart
4448,Ram Tej: U are doing it already
4449,Ram Tej: With your actions
4450,pooja07: What the fuck did I do
4451,pooja07: Boo
4452,pooja07: I love you ok
4453,Ram Tej: No big deal with my words
4454,pooja07: My mom is fighting here
4455,pooja07: She is throwing chairs on my grandma
4456,Ram Tej: So what I don't care
4457,Ram Tej: U should not have played game with any one when I am onlime and when u did not start an match
4458,pooja07: I started match
4459,pooja07: It was was matching
4460,Ram Tej: So
4461,Ram Tej: Lol
4462,Ram Tej: Lies again and again
4463,Ram Tej: media
4464,Ram Tej: media
4465,Ram Tej: I asked and u did not tell
4466,Ram Tej: And u know how I found u where play with home
4467,Ram Tej: Him only
4468,Ram Tej: First match when I started your both match started with 1 min I taught co inside CR
4469,Ram Tej: And second match I was waiting and I saw
4470,Ram Tej: Same 9 min on each
4471,Ram Tej: Then I felt irritating and. Left and deasided not to play with u
4472,Ram Tej: U
4473,Ram Tej: Ok
4474,Ram Tej: T.care if your family and get your best friend back
4475,Ram Tej: Bye
4476,pooja07: God
4477,pooja07: Ram
4478,pooja07: No
4479,pooja07: I don't want him
4480,pooja07: See listen
