Symbol,link,MARKETSMOJO,ETNOW
BRITANNIA,https://kite.zerodha.com/chart/web/ciq/NSE/BRITANNIA/140033,https://www.marketsmojo.com/Stocks?StockId=963994&Exchange=0,https://economictimes.indiatimes.com/britannia-industries-ltd/stocks/companyid-13934.cms
CADILAHC,https://kite.zerodha.com/chart/web/ciq/NSE/CADILAHC/2029825,https://www.marketsmojo.com/Stocks?StockId=290229&Exchange=0,https://economictimes.indiatimes.com/cadila-healthcare-ltd/stocks/companyid-3778.cms
CANBK,https://kite.zerodha.com/chart/web/ciq/NSE/CANBK/2763265,https://www.marketsmojo.com/Stocks?StockId=954692&Exchange=0,https://economictimes.indiatimes.com/cadila-healthcare-ltd/stocks/companyid-3778.cms
CENTURYTEX,https://kite.zerodha.com/chart/web/ciq/NSE/CENTURYTEX/160001,https://www.marketsmojo.com/Stocks?StockId=950641&Exchange=0,https://economictimes.indiatimes.com/century-textiles-industries-ltd/stocks/companyid-13905.cms
CESC,https://kite.zerodha.com/chart/web/ciq/NSE/CESC/160769,https://www.marketsmojo.com/Stocks?StockId=687677&Exchange=0,https://economictimes.indiatimes.com/cesc-ltd/stocks/companyid-13911.cms
CHOLAFIN,https://kite.zerodha.com/chart/web/ciq/NSE/CHOLAFIN/175361,https://www.marketsmojo.com/Stocks?StockId=972395&Exchange=0,https://economictimes.indiatimes.com/cholamandalam-investment-finance-company-ltd/stocks/companyid-12159.cms
CIPLA,https://kite.zerodha.com/chart/web/ciq/NSE/CIPLA/177665,https://www.marketsmojo.com/Stocks?StockId=597145&Exchange=0,https://economictimes.indiatimes.com/cipla-ltd/stocks/companyid-13917.cms
COALINDIA,https://kite.zerodha.com/chart/web/ciq/NSE/COALINDIA/5215745,https://www.marketsmojo.com/Stocks?StockId=421555&Exchange=0,https://economictimes.indiatimes.com/coal-india-ltd/stocks/companyid-11822.cms
COLPAL,https://kite.zerodha.com/chart/web/ciq/NSE/COLPAL/3876097,https://www.marketsmojo.com/Stocks?StockId=118611&Exchange=0,https://economictimes.indiatimes.com/colgate-palmolive-india-ltd/stocks/companyid-13873.cms
CONCOR,https://kite.zerodha.com/chart/web/ciq/NSE/CONCOR/1215745,https://www.marketsmojo.com/Stocks?StockId=336884&Exchange=0,https://economictimes.indiatimes.com/container-corporation-of-india-ltd/stocks/companyid-4764.cms
CUMMINSIND,https://kite.zerodha.com/chart/web/ciq/NSE/CUMMINSIND/486657,https://www.marketsmojo.com/Stocks?StockId=284716&Exchange=0,https://economictimes.indiatimes.com/cummins-india-ltd/stocks/companyid-13471.cms
DABUR,https://kite.zerodha.com/chart/web/ciq/NSE/DABUR/197633,https://www.marketsmojo.com/Stocks?StockId=171892&Exchange=0,https://economictimes.indiatimes.com/dabur-india-ltd/stocks/companyid-11796.cms
DIVISLAB,https://kite.zerodha.com/chart/web/ciq/NSE/DIVISLAB/2800641,https://www.marketsmojo.com/Stocks?StockId=509760&Exchange=0,https://economictimes.indiatimes.com/divi's-laboratories-ltd/stocks/companyid-3635.cms
DLF,https://kite.zerodha.com/chart/web/ciq/NSE/DLF/3771393,https://www.marketsmojo.com/Stocks?StockId=348479&Exchange=0,https://economictimes.indiatimes.com/dlf-ltd/stocks/companyid-12393.cms
DRREDDY,https://kite.zerodha.com/chart/web/ciq/NSE/DRREDDY/225537,https://www.marketsmojo.com/Stocks?StockId=734514&Exchange=0,https://economictimes.indiatimes.com/dr-reddy%27s-laboratories-ltd/stocks/companyid-13841.cms
EICHERMOT,https://kite.zerodha.com/chart/web/ciq/NSE/EICHERMOT/232961,https://www.marketsmojo.com/Stocks?StockId=501249&Exchange=0,https://economictimes.indiatimes.com/eicher-motors-ltd/stocks/companyid-13787.cms
EQUITAS,https://kite.zerodha.com/chart/web/ciq/NSE/EQUITAS/4314113,https://www.marketsmojo.com/Stocks?StockId=1000185&Exchange=0,https://economictimes.indiatimes.com/equitas-holdings-ltd/stocks/companyid-44332.cms
ESCORTS,https://kite.zerodha.com/chart/web/ciq/NSE/ESCORTS/245249,https://www.marketsmojo.com/Stocks?StockId=282332&Exchange=0,https://economictimes.indiatimes.com/escorts-ltd/stocks/companyid-13761.cms
EXIDEIND,https://kite.zerodha.com/chart/web/ciq/NSE/EXIDEIND/173057,https://www.marketsmojo.com/Stocks?StockId=639617&Exchange=0,https://economictimes.indiatimes.com/exide-industries-ltd/stocks/companyid-13895.cms
FEDERALBNK,https://kite.zerodha.com/chart/web/ciq/NSE/FEDERALBNK/261889,https://www.marketsmojo.com/Stocks?StockId=533514&Exchange=0,https://economictimes.indiatimes.com/federal-bank-ltd/stocks/companyid-9211.cms
GAIL,https://kite.zerodha.com/chart/web/ciq/NSE/GAIL/1207553,https://www.marketsmojo.com/Stocks?StockId=667248&Exchange=0,https://economictimes.indiatimes.com/gail-india-ltd/stocks/companyid-4845.cms
GLENMARK,https://kite.zerodha.com/chart/web/ciq/NSE/GLENMARK/1895937,https://www.marketsmojo.com/Stocks?StockId=780863&Exchange=0,https://economictimes.indiatimes.com/glenmark-pharmaceuticals-ltd/stocks/companyid-4255.cms
GMRINFRA,https://kite.zerodha.com/chart/web/ciq/NSE/GMRINFRA/3463169,https://www.marketsmojo.com/Stocks?StockId=125372&Exchange=0,https://economictimes.indiatimes.com/gmr-infrastructure-ltd/stocks/companyid-1428.cms
GODREJCP,https://kite.zerodha.com/chart/web/ciq/NSE/GODREJCP/2585345,https://www.marketsmojo.com/Stocks?StockId=597425&Exchange=0,https://economictimes.indiatimes.com/godrej-consumer-products-ltd/stocks/companyid-1908.cms
GODREJPROP,https://kite.zerodha.com/chart/web/ciq/NSE/GODREJPROP/4576001,https://www.marketsmojo.com/Stocks?StockId=608999&Exchange=0,https://economictimes.indiatimes.com/godrej-properties-ltd/stocks/companyid-5733.cms
GRASIM,https://kite.zerodha.com/chart/web/ciq/NSE/GRASIM/315393,https://www.marketsmojo.com/Stocks?StockId=658016&Exchange=0,https://economictimes.indiatimes.com/grasim-industries-ltd/stocks/companyid-13696.cms
HAVELLS,https://kite.zerodha.com/chart/web/ciq/NSE/HAVELLS/2513665,https://www.marketsmojo.com/Stocks?StockId=381936&Exchange=0,https://economictimes.indiatimes.com/havells-india-ltd/stocks/companyid-10507.cms
HCLTECH,https://kite.zerodha.com/chart/web/ciq/NSE/HCLTECH/1850625,https://www.marketsmojo.com/Stocks?StockId=308453&Exchange=0,https://economictimes.indiatimes.com/hcl-technologies-ltd/stocks/companyid-4291.cms
HDFC,https://kite.zerodha.com/chart/web/ciq/NSE/HDFC/340481,https://www.marketsmojo.com/Stocks?StockId=741664&Exchange=0,https://economictimes.indiatimes.com/housing-development-finance-corporation-ltd/stocks/companyid-13640.cms
HDFCBANK,https://kite.zerodha.com/chart/web/ciq/NSE/HDFCBANK/341249,https://www.marketsmojo.com/Stocks?StockId=592009&Exchange=0,https://economictimes.indiatimes.com/hdfc-bank-ltd/stocks/companyid-9195.cms
HDFCLIFE,https://kite.zerodha.com/chart/web/ciq/NSE/HDFCLIFE/119553,https://www.marketsmojo.com/Stocks?StockId=1002872&Exchange=0,https://economictimes.indiatimes.com/hdfc-life-insurance-company-ltd/stocks/companyid-3068.cms
HEROMOTOCO,https://kite.zerodha.com/chart/web/ciq/NSE/HEROMOTOCO/345089,https://www.marketsmojo.com/Stocks?StockId=191974&Exchange=0,https://economictimes.indiatimes.com/hero-motocorp-ltd/stocks/companyid-13636.cms
HINDALCO,https://kite.zerodha.com/chart/web/ciq/NSE/HINDALCO/348929,https://www.marketsmojo.com/Stocks?StockId=557714&Exchange=0,https://economictimes.indiatimes.com/hindalco-industries-ltd/stocks/companyid-13637.cms
HINDPETRO,https://kite.zerodha.com/chart/web/ciq/NSE/HINDPETRO/359937,https://www.marketsmojo.com/Stocks?StockId=313810&Exchange=0,https://economictimes.indiatimes.com/hindustan-petroleum-corporation-ltd/stocks/companyid-12078.cms
HINDUNILVR,https://kite.zerodha.com/chart/web/ciq/NSE/HINDUNILVR/356865,https://www.marketsmojo.com/Stocks?StockId=779011&Exchange=0,https://economictimes.indiatimes.com/hindustan-unilever-ltd/stocks/companyid-13616.cms
IBULHSGFIN,https://kite.zerodha.com/chart/web/ciq/NSE/IBULHSGFIN/7712001,https://www.marketsmojo.com/Stocks?StockId=559955&Exchange=0,https://economictimes.indiatimes.com/indiabulls-housing-finance-ltd/stocks/companyid-15580.cms
ICICIBANK,https://kite.zerodha.com/chart/web/ciq/NSE/ICICIBANK/1270529,https://www.marketsmojo.com/Stocks?StockId=478299&Exchange=0,https://economictimes.indiatimes.com/icici-bank-ltd/stocks/companyid-9194.cms
ICICIPRULI,https://kite.zerodha.com/chart/web/ciq/NSE/ICICIPRULI/4774913,https://www.marketsmojo.com/Stocks?StockId=1002663&Exchange=0,https://economictimes.indiatimes.com/icici-prudential-life-insurance-company-ltd/stocks/companyid-1898.cms
IDEA,https://kite.zerodha.com/chart/web/ciq/NSE/IDEA/3677697,https://www.marketsmojo.com/Stocks?StockId=279400&Exchange=0,https://economictimes.indiatimes.com/icici-bank-ltd/stocks/companyid-9194.cms
IDFCFIRSTB,https://kite.zerodha.com/chart/web/ciq/NSE/IDFCFIRSTB/2863105,https://www.marketsmojo.com/Stocks?StockId=999987&Exchange=0,https://economictimes.indiatimes.com/idfc-first-bank-ltd/stocks/companyid-62245.cms
